timestamp,src,dst,src_port,dst_port,proto,length,direction
1779209646.073218,127.0.0.1,127.0.0.1,58568,9224,tcp,74,C2S
1779209646.073243,127.0.0.1,127.0.0.1,9224,58568,tcp,74,S2C
1779209646.073273,127.0.0.1,127.0.0.1,58568,9224,tcp,66,C2S
1779209646.07416,127.0.0.1,127.0.0.1,58568,9224,tcp,333,C2S
1779209646.07418,127.0.0.1,127.0.0.1,9224,58568,tcp,66,S2C
1779209646.075468,127.0.0.1,127.0.0.1,9224,58568,tcp,369,S2C
1779209646.07549,127.0.0.1,127.0.0.1,58568,9224,tcp,66,C2S
1779209646.076902,127.0.0.1,127.0.0.1,58568,9224,websocket,100,C2S
1779209646.121749,127.0.0.1,127.0.0.1,9224,58568,tcp,66,S2C
